task,user_prompt,ground_truth,additional_args
retrieval,how long should a period last,2 to 7 days,"{""true_qrel_list"": [""678_0""]}"
retrieval,what is hydrogen used for,It can be used in fuel cells to power electric motors or burned in internal combustion engines (ICEs).,"{""true_qrel_list"": [""684_0""]}"
retrieval,temperature in the stratosphere,270 K,"{""true_qrel_list"": [""686_0""]}"
retrieval,cluster of flowers is called,Inflorescence can also be defined as the reproductive portion of a plant that bears a cluster of flowers in a specific pattern.,"{""true_qrel_list"": [""691_0""]}"
retrieval,what is meristem tissue?,"A meristem is the tissue in most plants containing undifferentiated cells (meristematic cells), found in zones of the plant where growth can take place.","{""true_qrel_list"": [""713_0""]}"
retrieval,average cost of new home construction per square foot,$100 per square foot.,"{""true_qrel_list"": [""723_0""]}"
retrieval,what is overdraft facility,Formal arrangement with a bank that allows an account holder to draw on funds in excess of the amount on deposit.,"{""true_qrel_list"": [""732_0""]}"
retrieval,standard scores range,"A standard score of 90, the beginning of the average range, corresponds to a percentile rank of 25.
A standard score of 100 would also be at the 50th percentile rank.
A standard score of 110, the uppermost end of average, has a percentile range of 75.","{""true_qrel_list"": [""734_0"",""734_1""]}"
retrieval,define amazing,"causing amazement, great wonder, or surprise.","{""true_qrel_list"": [""735_0""]}"
retrieval,what is the function of a egg cell,"To join with male cells (sperm) for the purpose of reproduction. Reproductive cells, or gametes, have half of the genetic information required to form a new individual; thus, the meeting of a sperm with an egg results in a full set of chromosomes.","{""true_qrel_list"": [""750_0"",""750_1""]}"
retrieval,what does the name pasquale mean,Born on Easter,"{""true_qrel_list"": [""751_0""]}"
retrieval,what test for candida,Candida Immune Complexes test,"{""true_qrel_list"": [""774_0""]}"
retrieval,what is an ox,An adult castrated bull of the genus bos especially bos taurus.,"{""true_qrel_list"": [""778_0""]}"
retrieval,how long to roast a slice of sirloin steak,3 minutes per side.,"{""true_qrel_list"": [""781_0""]}"
retrieval,what does Pathophysiology mean,"It is a convergence of pathology with physiology. Pathology is the medical discipline that describes conditions typically observed during a disease state, whereas physiology is the biological discipline that describes processes or mechanisms operating within an organism.","{""true_qrel_list"": [""808_0""]}"
retrieval,how many steps should you do in a day,"10,000","{""true_qrel_list"": [""828_0""]}"
retrieval,uses of metamorphic rocks in everyday life,"To make floor tiles, counter tops and it is carved into statues and was used extensively in the building of the Roman Colosseum and other historic buildings.","{""true_qrel_list"": [""830_0""]}"
retrieval,the scientific name of the sea snail,Cerithidae,"{""true_qrel_list"": [""834_0""]}"
retrieval,hereditary kidney disease,"It is genetically transmitted in the families, whereas the acquired diseases occur during life due to various environmental factors.","{""true_qrel_list"": [""835_0""]}"
retrieval,business systems information strategy definition,Strategic information systems (SIS) are information systems that are developed in response to corporate business initiative. They are intended to give competitive advantage to the organization.,"{""true_qrel_list"": [""838_0""]}"
retrieval,did the thirteenth amendment end the civil war,No,"{""true_qrel_list"": [""840_0""]}"
retrieval,executive officer meaning,"An executive officer (often abbreviated XO) is generally a person responsible for running an organization, although the exact nature of the role varies depending on the organization.","{""true_qrel_list"": [""848_0""]}"
retrieval,how many years does a member of the house of representatives serve,Two years,"{""true_qrel_list"": [""868_0""]}"
retrieval,the functional contractile unit of a skeletal muscle fiber is known as a,Sacromeres,"{""true_qrel_list"": [""876_0""]}"
retrieval,is an edge view of three charged metal electrodes,Yes,"{""true_qrel_list"": [""895_0""]}"
retrieval,what does the name kako mean,Summer rainbow,"{""true_qrel_list"": [""901_0""]}"
retrieval,does europium generate electrons,Yes,"{""true_qrel_list"": [""928_0""]}"
retrieval,behavior therapy definition,"Behavior therapy is a broad term referring to psychotherapy, behavior analytical, or a combination of the two therapies. It is a treatment that helps change potentially self-destructing behaviors.","{""true_qrel_list"": [""957_0"",""957_1""]}"
retrieval,what is normal body temperature for infants,"97 to 100.4 degrees Fahrenheit, 36 to 38 degrees Celsius","{""true_qrel_list"": [""974_0""]}"
retrieval,is the northern portion of the tonga trench a convergent plate boundary,Yes,"{""true_qrel_list"": [""995_0""]}"
retrieval,do all gum infections lead to abscesses,No,"{""true_qrel_list"": [""996_0""]}"
retrieval,what are kuiper belt objects made of,"The Kuiper belt is home to three officially recognized dwarf planets: Pluto, Haumea, and Makemake.","{""true_qrel_list"": [""999_0""]}"
retrieval,normal range for phosphorus,2.4 to 4.1 mg/dL.,"{""true_qrel_list"": [""1030_0""]}"
